layer,tag,mean_delta,max_delta,changed_ratio,collapse_ratio
up_blocks.3.attentions.1.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.1.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.proj_in,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_k,uce_fp,0.0015552230179309845,0.027618408203125,0.9831380248069763,0.5458414554595947
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,uce_fp,0.0005887073930352926,0.0133056640625,0.9792846441268921,0.8250935673713684
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.attentions.2.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.0.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.0.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.0.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.0.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.1.conv1,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.1.time_emb_proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.1.conv2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.1.conv_shortcut,uce_fp,0.0,0.0,0.0,1.0
up_blocks.3.resnets.2.conv1,uce_fp,0.0,0.0,0.0,1.0
